,Name,Year of release,Rating,Genre,imdb Url,votes,MovieID,Adventure,Drama,Comedy,Animation,Sci-fi,Thriller,Action,Mystery
17,Close,(I) (2019),5.6,"
Action, Thriller            ",http://www.imdb.com/title/tt5316540/?ref_=adv_li_tt,"8,222",18,0,0,0,0,0,1,1,0
18,Kingdom Hearts III,(2019 Video Game),9.7,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt2973418/?ref_=adv_li_tt,433,19,1,0,0,0,0,0,1,0
19,The Passage,(2019– ),7.4,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt1074206/?ref_=adv_li_tt,"2,664",20,1,1,0,0,0,0,1,0
20,The Flash,(2014– ),7.9,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt3107288/?ref_=adv_li_tt,"267,909",21,1,1,0,0,0,0,1,0
21,Black Panther,(2018),7.4,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1825683/?ref_=adv_li_tt,"456,135",22,1,0,0,0,0,0,1,0
22,Bumblebee,(2018),7.1,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt4701182/?ref_=adv_li_tt,"47,768",23,1,0,0,0,0,0,1,0
23,Captain Marvel,(2019),,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt4154664/?ref_=adv_li_tt,,24,1,0,0,0,0,0,1,0
24,Avengers: Infinity War,(2018),8.5,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt4154756/?ref_=adv_li_tt,"580,382",25,1,0,0,0,0,0,1,0
25,Solo: A Star Wars Story,(2018),7.0,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt3778644/?ref_=adv_li_tt,"201,406",26,1,0,0,0,0,0,1,0
26,Arrow,(2012– ),7.7,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt2193021/?ref_=adv_li_tt,"372,386",27,1,0,0,0,0,0,1,0
27,Hunter Killer,(2018),6.6,"
Action, Thriller            ",http://www.imdb.com/title/tt1846589/?ref_=adv_li_tt,"21,867",28,0,0,0,0,0,1,1,0
28,The Girl in the Spider's Web,(2018),6.1,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt5177088/?ref_=adv_li_tt,"16,460",29,0,1,0,0,0,0,1,0
29,Spider-Man: Far From Home,(2019),,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt6320628/?ref_=adv_li_tt,,30,1,0,1,0,0,0,1,0
30,The Lego Movie 2: The Second Part,(2019),7.5,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3513498/?ref_=adv_li_tt,70,31,1,0,0,1,0,0,1,0
31,The Boys,(2019– ),,"
Action, Drama, Sci-Fi            ",http://www.imdb.com/title/tt1190634/?ref_=adv_li_tt,,32,0,1,0,0,0,0,1,0
32,The Last Kingdom,(2015– ),8.3,"
Action, Drama, History            ",http://www.imdb.com/title/tt4179452/?ref_=adv_li_tt,"49,132",33,0,1,0,0,0,0,1,0
33,Venom,(2018),6.8,"
Action, Sci-Fi            ",http://www.imdb.com/title/tt1270797/?ref_=adv_li_tt,"227,668",34,0,0,0,0,0,0,1,0
34,Agents of S.H.I.E.L.D.,(2013– ),7.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt2364582/?ref_=adv_li_tt,"178,959",35,1,1,0,0,0,0,1,0
35,The Umbrella Academy,(2019– ),,"
Action, Fantasy            ",http://www.imdb.com/title/tt1312171/?ref_=adv_li_tt,,36,0,0,0,0,0,0,1,0
36,Robin Hood,(I) (2018),5.3,"
Action, Adventure, Thriller            ",http://www.imdb.com/title/tt4532826/?ref_=adv_li_tt,"19,198",37,1,0,0,0,0,1,1,0
37,Deadly Class,(2018– ),8.1,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt5924572/?ref_=adv_li_tt,"2,456",38,0,1,0,0,0,0,1,0
38,Incredibles 2,(2018),7.8,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3606756/?ref_=adv_li_tt,"172,097",39,1,0,0,1,0,0,1,0
39,Shazam!,(2019),,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0448115/?ref_=adv_li_tt,,40,1,0,0,0,0,0,1,0
40,Miss Bala,(2019),5.0,"
Action, Drama, Thriller            ",http://www.imdb.com/title/tt5941692/?ref_=adv_li_tt,750,41,0,1,0,0,0,1,1,0
41,Ready Player One,(2018),7.5,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1677720/?ref_=adv_li_tt,"274,896",42,1,0,0,0,0,0,1,0
42,Supergirl,(2015– ),6.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt4016454/?ref_=adv_li_tt,"92,857",43,1,1,0,0,0,0,1,0
43,Zombieland: Double Tap,(2019),,"
Action, Comedy, Horror            ",http://www.imdb.com/title/tt1560220/?ref_=adv_li_tt,,44,0,0,1,0,0,0,1,0
44,Cold Pursuit,(2019),,"
Action, Drama, Thriller            ",http://www.imdb.com/title/tt5719748/?ref_=adv_li_tt,,45,0,1,0,0,0,1,1,0
45,NCIS: Naval Criminal Investigative Service,(2003– ),7.8,"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt0364845/?ref_=adv_li_tt,"104,774",46,0,0,1,0,0,0,1,0
46,Daredevil,(2015–2018),8.7,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3322312/?ref_=adv_li_tt,"319,766",47,0,1,0,0,0,0,1,0
47,Ant-Man and the Wasp,(2018),7.1,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt5095030/?ref_=adv_li_tt,"190,701",48,1,0,1,0,0,0,1,0
